General_POS	Freq	Perc
Noun	215205	0.2152047847952152
Verb	205104	0.20510379489620512
Determiner	124990	0.12498987501012498
Preposition	102231	0.10223089776910223
Pronoun	90680	0.09067990932009068
Adverb	69307	0.06930693069306931
Adjective	59037	0.05903694096305904
Conjunction	56012	0.056011943988056014
Other	23203	0.023202976797023205
Numeral	18685	0.018684981315018685
Interjection	16380	0.01637998362001638
Negation	12071	0.01207098792901207
Symbol	3507	0.003506996493003507
Existential	2924	0.002923997076002924
Foreign	665	0.000664999335000665
