General_POS	Freq	Perc
Verb	233571	0.23357123357123358
Noun	146031	0.14603114603114603
Pronoun	135944	0.13594413594413596
Determiner	114820	0.11482011482011482
Adverb	85911	0.08591108591108591
Preposition	78970	0.07897007897007897
Conjunction	56652	0.05665205665205665
Adjective	39033	0.039033039033039035
Interjection	31705	0.03170503170503171
Other	31341	0.03134103134103134
Numeral	18920	0.01892001892001892
Negation	18067	0.018067018067018065
Symbol	5303	0.005303005303005303
Existential	3642	0.003642003642003642
Foreign	89	8.9000089000089e-05
