General_POS	Freq	Perc
Verb	214555	0.2145558582234329
Noun	169390	0.16939067756271026
Determiner	127727	0.12772751091004364
Pronoun	106213	0.10621342485369942
Preposition	95115	0.09511538046152185
Adverb	78853	0.07885331541326165
Conjunction	62856	0.0628562514250057
Adjective	43107	0.043107172428689715
Other	38048	0.03804815219260877
Numeral	24138	0.02413809655238621
Interjection	15268	0.015268061072244288
Negation	12402	0.012402049608198433
Symbol	7922	0.007922031688126753
Existential	4273	0.004273017092068368
Foreign	129	0.000129000516002064
