	PoS	Freq	Ra	Disp
	APPGE	12759	100	0.95
	AT	53690	100	0.96
	AT1	22274	100	0.98
	BCL	94	49	0.83
	CC	30572	100	0.98
	CCB	5258	100	0.97
	CS	10323	100	0.97
	CSA	2081	100	0.95
	CSN	812	100	0.94
	CST	6424	100	0.95
	CSW	542	97	0.94
	DA	1772	100	0.95
	DA1	632	99	0.96
	DA2	1061	100	0.94
	DAR	904	100	0.95
	DAT	382	97	0.93
	DB	3420	100	0.96
	DB2	293	96	0.93
	DD	3255	100	0.95
	DD1	14340	100	0.95
	DD2	2472	100	0.95
	DDQ	7392	100	0.96
	DDQGE	127	74	0.89
	DDQV	217	89	0.91
	EX	2924	100	0.96
	FU	11573	76	0.88
	FW	665	59	0.78
	GE	3788	100	0.92
	IF	7664	100	0.97
	II	58283	100	0.97
	IO	22267	100	0.94
	IW	5900	100	0.96
	JJ	56336	100	0.96
	JJR	1674	100	0.95
	JJT	751	100	0.94
	JK	276	96	0.93
	MC	15146	100	0.90
	MC1	2897	100	0.95
	MC2	286	80	0.86
	MCMC	356	41	0.72
	MD	3501	100	0.95
	MF	178	39	0.44
	ND1	356	70	0.83
	NN	2896	100	0.93
	NN1	121078	100	0.97
	NN2	41320	100	0.95
	NNA	15	15	0.69
	NNB	2192	95	0.83
	NNL1	1155	96	0.85
	NNL2	63	26	0.63
	NNO	851	95	0.88
	NNO2	111	61	0.85
	NNT1	6301	100	0.96
	NNT2	2163	100	0.96
	NNU	2247	93	0.77
	NNU1	428	78	0.75
	NNU2	311	82	0.86
	NP	23	18	0.62
	NP1	31867	100	0.92
	NP2	155	68	0.87
	NPD1	685	84	0.89
	NPD2	30	28	0.76
	NPM1	958	95	0.88
	PN	321	93	0.92
	PN1	4522	100	0.93
	PNQO	72	49	0.82
	PNQS	1916	100	0.94
	PNQV	14	21	0.79
	PNX1	3	5	0.54
	PPGE	318	78	0.88
	PPH1	17059	100	0.94
	PPHO1	2132	97	0.90
	PPHO2	2430	100	0.94
	PPHS1	9885	100	0.91
	PPHS2	6549	100	0.94
	PPIO1	1984	92	0.91
	PPIO2	846	95	0.91
	PPIS1	18977	98	0.92
	PPIS2	7059	99	0.91
	PPX1	720	100	0.90
	PPX2	335	98	0.92
	PPY	15538	98	0.92
	RA	496	100	0.93
	REX	309	73	0.84
	RG	5026	100	0.96
	RGQ	501	93	0.90
	RGQV	22	31	0.81
	RGR	695	98	0.91
	RGT	362	90	0.90
	RL	4802	100	0.94
	RP	10545	100	0.94
	RPK	34	44	0.87
	RR	35332	100	0.97
	RRQ	3212	100	0.95
	RRQV	67	65	0.89
	RRR	1000	100	0.96
	RRT	83	75	0.91
	RT	6821	100	0.95
	TO	15687	100	0.98
	UH	16380	87	0.88
	VB0	103	68	0.86
	VBDR	3020	100	0.93
	VBDZ	8102	100	0.95
	VBG	700	99	0.95
	VBI	6298	100	0.95
	VBM	1846	90	0.91
	VBN	2212	100	0.95
	VBR	7342	100	0.96
	VBZ	18781	100	0.95
	VD0	4297	100	0.91
	VDD	2383	98	0.91
	VDG	582	89	0.90
	VDI	1484	99	0.92
	VDN	618	97	0.92
	VDZ	1032	97	0.93
	VH0	6046	100	0.94
	VHD	3189	100	0.92
	VHG	410	100	0.94
	VHI	2693	100	0.95
	VHN	457	98	0.92
	VHZ	3161	100	0.96
	VM	17464	100	0.97
	VMK	366	84	0.87
	VV0	19876	100	0.94
	VVD	17978	100	0.93
	VVG	13252	100	0.98
	VVGK	1190	89	0.90
	VVI	29047	100	0.98
	VVN	20753	100	0.97
	VVNK	24	36	0.85
	VVZ	6897	100	0.95
	XX	12071	100	0.93
	ZZ1	3442	93	0.85
	ZZ2	65	31	0.73
