	PoS	FrSp	Ra	DiSp		LL	FrWr	Ra	DiWr
	APPGE	10393	50	0.96	-	870.6	15101	50	0.92
	AT	39031	50	0.95	-	7997.4	68200	50	0.98
	AT1	20015	50	0.98	-	452.5	24510	50	0.98
	BCL	31	14	0.69	-	90.0	156	35	0.83
	CC	28484	50	0.97	-	281.3	32638	50	0.97
	CCB	6289	50	0.97	+	400.2	4238	50	0.95
	CS	12630	50	0.97	+	1023.5	8040	50	0.96
	CSA	1383	50	0.92	-	471.0	2772	50	0.95
	CSN	644	50	0.93	-	69.4	979	50	0.92
	CST	6482	50	0.91	+	1.1	6366	50	0.95
	CSW	740	49	0.94	+	145.0	347	48	0.90
	DA	1292	50	0.94	-	259.7	2247	50	0.94
	DA1	694	50	0.94	+	12.3	570	49	0.94
	DA2	836	50	0.89	-	95.4	1285	50	0.93
	DAR	912	50	0.94	+	0.2	895	50	0.91
	DAT	266	47	0.90	-	69.6	496	50	0.91
	DB	4091	50	0.96	+	260.7	2757	50	0.95
	DB2	209	46	0.88	-	48.0	376	50	0.93
	DD	3722	50	0.92	+	132.4	2793	50	0.95
	DD1	20945	50	0.98	+	6215.9	7802	50	0.96
	DD2	2567	50	0.95	+	7.2	2378	50	0.92
	DDQ	9476	50	0.96	+	1172.6	5329	50	0.95
	DDQGE	46	30	0.85	-	108.2	206	44	0.89
	DDQV	325	49	0.91	+	110.8	110	40	0.87
	EX	3642	50	0.95	+	350.8	2213	50	0.94
	FU	23010	50	0.93	+	29404.6	252	26	0.67
	FW	89	16	0.63	-	1176.6	1235	43	0.78
	GE	1813	50	0.95	-	2137.1	5743	50	0.92
	IF	6284	50	0.96	-	492.7	9030	50	0.96
	II	44809	50	0.97	-	6200.5	71619	50	0.98
	IO	13406	50	0.93	-	7156.3	31039	50	0.95
	IW	4580	50	0.97	-	588.2	7208	50	0.96
	JJ	36979	50	0.97	-	13395.5	75496	50	0.97
	JJR	1280	50	0.95	-	184.4	2063	50	0.94
	JJT	485	50	0.91	-	190.3	1014	50	0.94
	JK	289	48	0.89	+	1.2	263	48	0.91
	MC	15575	50	0.83	+	24.0	14721	50	0.91
	MC1	3124	50	0.93	+	35.0	2673	50	0.94
	MC2	221	40	0.77	-	29.5	351	40	0.84
	MCMC	0	0	0.00	-	974.3	707	41	0.73
	MD	2939	50	0.94	-	178.4	4057	50	0.92
	MF	234	9	0.16	+	35.9	122	30	0.74
	ND1	119	27	0.66	-	339.7	590	43	0.82
	NN	2693	50	0.91	-	28.1	3097	50	0.89
	NN1	89193	50	0.96	-	16762.3	152639	50	0.98
	NN2	25432	50	0.94	-	12373.6	57048	50	0.96
	NNA	0	0	0.00	-	41.3	30	15	0.71
	NNB	993	48	0.77	-	1367.7	3378	47	0.81
	NNL1	381	48	0.88	-	1120.7	1921	48	0.84
	NNL2	4	1	0.00	-	136.7	121	25	0.63
	NNO	1232	50	0.87	+	348.5	474	45	0.83
	NNO2	79	25	0.75	-	19.3	144	36	0.82
	NNT1	6507	50	0.96	+	13.3	6097	50	0.93
	NNT2	1920	50	0.95	-	53.9	2403	50	0.94
	NNU	553	48	0.83	-	2841.8	3924	45	0.76
	NNU1	669	43	0.69	+	282.6	190	35	0.77
	NNU2	283	41	0.80	-	5.0	339	41	0.80
	NP	33	10	0.50	+	9.2	13	8	0.62
	NP1	14469	50	0.94	-	19819.2	49089	50	0.92
	NP2	77	27	0.77	-	81.2	232	41	0.86
	NPD1	891	49	0.87	+	123.7	482	35	0.82
	NPD2	35	18	0.78	+	1.8	25	10	0.52
	NPM1	468	49	0.85	-	518.3	1443	46	0.86
	PN	419	50	0.93	+	59.2	225	43	0.85
	PN1	6802	50	0.96	+	2369.5	2264	50	0.87
	PNQO	16	11	0.70	-	98.0	128	38	0.81
	PNQS	1768	50	0.94	-	22.3	2061	50	0.90
	PNQV	23	18	0.79	+	15.0	4	3	0.40
	PNX1	0	0	0.00	-	8.3	6	5	0.55
	PPGE	500	49	0.87	+	215.7	139	29	0.80
	PPH1	25899	50	0.96	+	9462.6	8308	50	0.94
	PPHO1	2374	50	0.88	+	54.3	1892	47	0.82
	PPHO2	3350	50	0.94	+	702.7	1520	50	0.88
	PPHS1	12139	50	0.89	+	1020.9	7655	50	0.85
	PPHS2	9468	50	0.96	+	2651.6	3660	50	0.92
	PPIO1	2617	50	0.93	+	405.3	1357	42	0.79
	PPIO2	984	49	0.92	+	44.9	708	46	0.82
	PPIS1	31379	50	0.95	+	17304.1	6701	48	0.82
	PPIS2	10880	50	0.93	+	4292.0	3277	49	0.84
	PPX1	518	50	0.92	-	113.1	919	50	0.86
	PPX2	277	48	0.89	-	20.5	394	50	0.90
	PPY	26531	50	0.96	+	16894.5	4656	48	0.81
	RA	490	50	0.93	-	0.1	502	50	0.89
	REX	164	31	0.81	-	141.2	454	42	0.81
	RG	6186	50	0.96	+	531.9	3878	50	0.94
	RGQ	776	50	0.90	+	314.0	229	43	0.86
	RGQV	16	12	0.73	-	3.2	28	19	0.75
	RGR	356	48	0.87	-	340.8	1031	50	0.91
	RGT	133	40	0.84	-	308.4	589	50	0.91
	RL	6519	50	0.95	+	1234.6	3103	50	0.91
	RP	14260	50	0.95	+	2632.6	6867	50	0.91
	RPK	27	22	0.82	-	2.4	40	22	0.81
	RR	42555	50	0.98	+	2928.9	28183	50	0.97
	RRQ	4380	50	0.96	+	854.9	2056	50	0.92
	RRQV	65	32	0.86	-	0.2	70	33	0.84
	RRR	892	50	0.95	-	22.8	1106	50	0.95
	RRT	58	35	0.87	-	16.0	109	40	0.88
	RT	9034	50	0.96	+	1439.0	4631	50	0.93
	TO	16144	50	0.97	+	26.3	15234	50	0.97
	UH	31705	50	0.92	+	35177.8	1210	37	0.74
	VB0	84	35	0.87	-	7.1	122	33	0.78
	VBDR	2736	50	0.90	-	52.7	3301	50	0.90
	VBDZ	7920	50	0.93	-	8.1	8282	50	0.91
	VBG	558	50	0.92	-	57.0	840	49	0.94
	VBI	5554	50	0.95	-	173.7	7034	50	0.92
	VBM	3060	50	0.94	+	1706.9	644	40	0.79
	VBN	1883	50	0.95	-	97.1	2538	50	0.93
	VBR	9316	50	0.97	+	1057.7	5388	50	0.94
	VBZ	26524	50	0.97	+	6472.7	11117	50	0.95
	VD0	7395	50	0.94	+	4875.5	1230	50	0.83
	VDD	3702	50	0.92	+	1520.1	1077	48	0.85
	VDG	1011	50	0.93	+	693.3	158	39	0.84
	VDI	2474	50	0.95	+	1414.8	505	49	0.87
	VDN	1012	50	0.94	+	534.6	228	47	0.91
	VDZ	1588	49	0.94	+	621.2	482	48	0.89
	VH0	9180	50	0.97	+	3356.2	2944	50	0.94
	VHD	2824	50	0.92	-	82.4	3550	50	0.87
	VHG	486	50	0.93	+	27.4	336	50	0.91
	VHI	3651	50	0.96	+	685.9	1745	50	0.93
	VHN	701	50	0.92	+	269.0	216	48	0.88
	VHZ	3436	50	0.95	+	47.2	2889	50	0.92
	VM	20781	50	0.98	+	1248.7	14181	50	0.95
	VMK	644	48	0.89	+	467.4	91	36	0.84
	VV0	28729	50	0.97	+	8037.5	11113	50	0.91
	VVD	13558	50	0.94	-	2165.4	22352	50	0.90
