	PoS	FrDe	Ra	DiDe		LL	FrCg	Ra	DiCg
	APPGE	10670	25	0.95	+	7.3	10117	25	0.95
	AT	27949	25	0.96	-	3142.9	50046	25	0.96
	AT1	17885	25	0.97	-	223.8	22133	25	0.98
	BCL	0	0	0.00	-	42.8	62	14	0.73
	CC	25392	25	0.96	-	331.3	31558	25	0.97
	CCB	6766	25	0.96	+	35.7	5814	25	0.95
	CS	12988	25	0.97	+	10.0	12273	25	0.94
	CSA	812	25	0.90	-	239.3	1950	25	0.93
	CSN	547	25	0.92	-	14.5	741	25	0.91
	CST	3278	25	0.90	-	1631.2	9667	25	0.94
	CSW	626	24	0.93	-	17.4	853	25	0.91
	DA	1049	25	0.95	-	45.3	1534	25	0.91
	DA1	743	25	0.92	+	3.4	646	25	0.91
	DA2	502	25	0.90	-	134.9	1167	25	0.87
	DAR	826	25	0.91	-	8.0	998	25	0.93
	DAT	164	23	0.86	-	39.8	368	24	0.90
	DB	4512	25	0.94	+	42.6	3673	25	0.95
	DB2	200	23	0.85	-	0.3	217	23	0.82
	DD	2948	25	0.95	-	159.4	4490	25	0.89
	DD1	22212	25	0.98	+	75.5	19685	25	0.96
	DD2	2035	25	0.93	-	109.3	3095	25	0.94
	DDQ	9754	25	0.96	+	8.0	9200	25	0.94
	DDQGE	57	16	0.80	+	2.3	36	14	0.80
	DDQV	328	25	0.87	+	0.0	322	24	0.87
	EX	3007	25	0.94	-	109.5	4273	25	0.94
	FU	17087	25	0.93	-	1519.0	28897	25	0.91
	FW	49	8	0.62	-	18.6	129	8	0.51
	GE	1978	25	0.94	+	14.9	1648	25	0.91
	IF	5524	25	0.96	-	90.8	7040	25	0.95
	II	36784	25	0.98	-	1423.2	52785	25	0.98
	IO	7723	25	0.95	-	2450.1	19053	25	0.95
	IW	4036	25	0.97	-	63.7	5120	25	0.95
	JJ	33182	25	0.97	-	384.7	40753	25	0.96
	JJR	1191	25	0.94	-	6.1	1369	25	0.94
	JJT	391	25	0.89	-	18.0	578	25	0.88
	JK	170	23	0.87	-	49.4	407	25	0.88
	MC	10893	25	0.94	-	1408.5	20229	25	0.75
	MC1	2643	25	0.93	-	73.4	3603	25	0.90
	MC2	136	17	0.77	-	33.4	306	23	0.69
	MD	2509	25	0.94	-	62.3	3367	25	0.92
	MF	4	2	0.31	-	297.2	463	7	0.15
	ND1	53	10	0.50	-	38.7	185	17	0.59
	NN	1711	25	0.89	-	361.0	3669	25	0.90
	NN1	72212	25	0.98	-	3204.1	106071	25	0.97
	NN2	16512	25	0.96	-	3148.9	34297	25	0.96
	NNB	448	25	0.87	-	312.5	1536	23	0.72
	NNL1	324	24	0.82	-	8.3	437	24	0.84
	NNL2	0	0	0.00	-	5.5	8	1	0.00
	NNO	788	25	0.86	-	161.7	1674	25	0.83
	NNO2	30	9	0.67	-	31.5	127	16	0.72
	NNT1	7193	25	0.96	+	71.4	5825	25	0.93
	NNT2	1746	25	0.94	-	15.6	2093	25	0.94
	NNU	506	25	0.83	-	3.9	600	23	0.71
	NNU1	593	23	0.82	-	8.5	745	20	0.46
	NNU2	275	22	0.79	-	0.2	290	19	0.67
	NP	28	7	0.64	-	0.7	38	3	0.16
	NP1	18270	25	0.96	+	994.2	10691	25	0.89
	NP2	83	14	0.64	+	0.5	70	13	0.72
	NPD1	1320	25	0.87	+	211.7	465	24	0.77
	NPD2	45	11	0.72	+	2.4	26	7	0.65
	NPM1	393	25	0.81	-	12.0	543	24	0.79
	PN	419	25	0.91	+	0.0	419	25	0.89
	PN1	7792	25	0.97	+	142.3	5818	25	0.93
	PNQO	6	3	0.45	-	6.7	26	8	0.66
	PNQS	1557	25	0.91	-	24.9	1978	25	0.92
	PNQV	28	10	0.73	+	1.1	18	8	0.68
	PPGE	848	25	0.90	+	263.8	153	24	0.87
	PPH1	31325	25	0.97	+	1127.0	20507	25	0.95
	PPHO1	4022	25	0.93	+	1236.9	737	25	0.82
	PPHO2	4084	25	0.94	+	159.7	2620	25	0.92
	PPHS1	20333	25	0.94	+	5946.7	3995	25	0.86
	PPHS2	10886	25	0.95	+	209.9	8059	25	0.94
	PPIO1	3607	25	0.95	+	377.0	1634	25	0.92
	PPIO2	695	25	0.92	-	85.2	1272	24	0.91
	PPIS1	40640	25	0.97	+	2729.6	22175	25	0.93
	PPIS2	7788	25	0.94	-	877.7	13953	25	0.91
	PPX1	514	25	0.92	-	0.0	521	25	0.86
	PPX2	150	23	0.88	-	59.4	403	25	0.89
	PPY	31165	25	0.97	+	800.7	21925	25	0.93
	RA	462	25	0.89	-	1.6	517	25	0.91
	REX	34	10	0.65	-	115.0	292	21	0.83
	RG	6004	25	0.95	-	5.2	6366	25	0.95
	RGQ	765	25	0.93	-	0.1	787	25	0.83
	RGQV	4	1	0.00	-	10.1	28	11	0.75
	RGR	144	23	0.83	-	133.7	568	25	0.89
	RGT	57	16	0.80	-	46.1	209	24	0.83
