General_POS	Freq	Perc
Verb	220830	0.2208304416608833
Noun	219490	0.21949043898087797
Determiner	133631	0.13363126726253452
Pronoun	106657	0.10665721331442662
Preposition	96495	0.09649519299038598
Adverb	71909	0.07190914381828764
Adjective	55924	0.0559241118482237
Conjunction	55279	0.055279110558221115
Other	12272	0.012272024544049088
Negation	12160	0.01216002432004864
Numeral	7200	0.0072000144000288
Interjection	4540	0.00454000908001816
Existential	2735	0.00273500547001094
Foreign	684	0.000684001368002736
Symbol	192	0.000192000384000768
