General_POS	Freq	Perc
Noun	302162	0.30216260432520864
Verb	164281	0.16428132856265712
Determiner	135464	0.13546427092854185
Preposition	133538	0.13353826707653416
Adjective	85434	0.08543417086834174
Conjunction	55407	0.05540711081422163
Adverb	47395	0.04739509479018958
Pronoun	28371	0.028371056742113484
Numeral	21692	0.021692043384086767
Other	15974	0.015974031948063894
Negation	4400	0.0044000088000176
Symbol	2172	0.002172004344008688
Existential	2063	0.002063004126008252
Foreign	1394	0.001394002788005576
Interjection	251	0.000251000502001004
