General_POS	Freq	Perc
Noun	283679	0.2836770142609002
Verb	176929	0.17692776150566947
Determiner	135055	0.13505405462161765
Preposition	125256	0.1252551232141375
Adjective	78836	0.07883544815186294
Conjunction	55380	0.0553796123427136
Adverb	52876	0.052875629870590905
Pronoun	45874	0.04587367888424781
Numeral	18452	0.018451870836904142
Other	15147	0.015146893971742197
Negation	6135	0.006134957055300613
Existential	2213	0.0022129845091084363
Symbol	1730	0.0017299878900847694
Foreign	1235	0.0012349913550605146
Interjection	1210	0.0012099915300592895
