	PoS	FrIm	Ra	DiIm		LL	FrIn	Ra	DiIn
	APPGE	26889	11	0.92	+	2310.5	11707	39	0.95
	AT	56039	11	0.96	-	654.3	71702	39	0.98
	AT1	22407	11	0.97	-	53.1	25116	39	0.98
	BCL	9	2	0.33	-	62.5	198	33	0.84
	CC	30402	11	0.96	-	44.9	33282	39	0.97
	CCB	5885	11	0.91	+	170.5	3764	39	0.95
	CS	9349	11	0.94	+	59.2	7663	39	0.95
	CSA	3043	11	0.90	+	7.5	2693	39	0.94
	CSN	965	11	0.90	-	0.1	983	39	0.90
	CST	5269	11	0.86	-	56.9	6681	39	0.94
	CSW	366	11	0.84	+	0.3	341	37	0.88
	DA	1801	11	0.84	-	26.9	2376	39	0.94
	DA1	635	11	0.91	+	2.1	551	38	0.92
	DA2	724	11	0.83	-	80.3	1446	39	0.94
	DAR	840	11	0.92	-	1.0	911	39	0.89
	DAT	223	11	0.86	-	51.3	574	39	0.91
	DB	3539	11	0.94	+	60.3	2531	39	0.94
	DB2	411	11	0.84	+	0.9	365	39	0.92
	DD	2744	11	0.89	-	0.2	2807	39	0.94
	DD1	9662	11	0.96	+	121.3	7267	39	0.95
	DD2	1662	11	0.90	-	67.4	2584	39	0.91
	DDQ	5760	11	0.91	+	9.9	5205	39	0.94
	DDQGE	125	8	0.74	-	10.2	229	36	0.89
	DDQV	170	10	0.80	+	8.5	93	30	0.85
	EX	2735	11	0.87	+	33.7	2063	39	0.93
	FU	854	9	0.64	+	324.2	78	17	0.70
	FW	684	8	0.28	-	81.0	1394	35	0.78
	GE	4791	11	0.87	-	47.5	6017	39	0.91
	IF	6627	11	0.94	-	198.0	9722	39	0.96
	II	58430	11	0.97	-	734.1	75417	39	0.99
	IO	17589	11	0.90	-	1909.1	34912	39	0.96
	IW	6627	11	0.95	-	13.7	7375	39	0.95
	JJ	53729	11	0.96	-	1956.6	81764	39	0.98
	JJR	1417	11	0.92	-	63.7	2249	39	0.93
	JJT	608	11	0.92	-	52.7	1131	39	0.93
	JK	170	10	0.74	-	10.5	290	38	0.91
	MC	4849	11	0.82	-	2409.7	17563	39	0.93
	MC1	2284	11	0.88	-	16.9	2785	39	0.94
	MC2	27	4	0.55	-	131.9	444	36	0.85
	MCMC	40	5	0.54	-	284.3	900	36	0.74
	MD	2431	11	0.89	-	210.9	4525	39	0.92
	MF	0	0	0.00	-	61.7	157	30	0.75
	ND1	259	9	0.75	-	64.1	686	34	0.81
	NN	2024	11	0.83	-	118.1	3406	39	0.87
	NN1	127590	11	0.97	-	1235.5	159852	39	0.98
	NN2	33275	11	0.94	-	3225.5	63893	39	0.97
	NNA	4	1	0.00	-	8.9	37	14	0.71
	NNB	3316	11	0.75	-	0.3	3396	36	0.76
	NNL1	862	10	0.74	-	200.5	2226	38	0.83
	NNL2	13	1	0.00	-	40.6	152	24	0.63
	NNO	223	10	0.80	-	44.9	546	35	0.82
	NNO2	134	8	0.67	-	0.2	147	28	0.78
	NNT1	6399	11	0.91	+	4.3	6010	39	0.91
	NNT2	2163	11	0.85	-	7.1	2472	39	0.93
	NNU	63	6	0.62	-	1836.6	5036	39	0.77
	NNU1	130	8	0.72	-	6.0	207	27	0.73
	NNU2	179	10	0.78	-	25.1	385	31	0.78
	NP	0	0	0.00	-	6.6	17	8	0.63
	NP1	42123	11	0.91	-	295.3	51095	39	0.90
	NP2	188	7	0.70	-	2.5	245	34	0.84
	NPD1	241	9	0.65	-	40.3	551	26	0.81
	NPD2	18	3	0.44	-	0.6	27	7	0.44
	NPM1	286	9	0.67	-	366.2	1776	37	0.87
	PN	469	11	0.83	+	64.4	154	32	0.83
	PN1	5622	11	0.92	+	1165.4	1297	39	0.94
	PNQO	170	8	0.57	+	3.7	116	30	0.81
	PNQS	2319	11	0.78	+	9.1	1987	39	0.89
	PNQV	13	2	0.29	+	5.0	1	1	0.00
	PNX1	0	0	0.00	-	3.0	8	5	0.55
	PPGE	456	11	0.89	+	163.2	48	18	0.78
	PPH1	13755	11	0.93	+	912.2	6739	39	0.96
	PPHO1	5823	11	0.92	+	1851.6	761	36	0.86
	PPHO2	2878	11	0.81	+	300.6	1129	39	0.92
	PPHS1	19944	11	0.92	+	4579.0	4115	39	0.85
	PPHS2	5693	11	0.87	+	292.8	3074	39	0.93
	PPIO1	4598	11	0.87	+	1745.6	423	31	0.78
	PPIO2	1247	11	0.81	+	103.0	553	35	0.75
	PPIS1	20829	11	0.92	+	6748.9	2633	37	0.79
	PPIS2	5023	11	0.79	+	241.9	2775	38	0.79
	PPX1	1998	11	0.80	+	303.9	609	39	0.93
	PPX2	505	11	0.82	+	8.5	362	39	0.88
	PPY	15315	11	0.91	+	5506.1	1587	37	0.83
	RA	438	11	0.84	-	2.4	520	39	0.87
	REX	107	8	0.65	-	101.7	553	34	0.81
	RG	5086	11	0.92	+	101.6	3530	39	0.94
	RGQ	474	11	0.84	+	63.6	158	32	0.83
	RGQV	22	5	0.65	-	0.3	30	14	0.71
	RGR	550	11	0.84	-	74.6	1170	39	0.91
	RGT	250	11	0.80	-	67.5	686	39	0.92
	RL	6154	11	0.92	+	734.7	2225	39	0.95
	RP	12508	11	0.87	+	1157.5	5243	39	0.92
	RPK	76	8	0.76	+	8.0	30	14	0.75
	RR	33561	11	0.95	+	283.7	26634	39	0.96
	RRQ	3781	11	0.93	+	360.5	1560	39	0.93
	RRQV	40	6	0.68	-	4.1	78	27	0.82
	RRR	1390	11	0.89	+	19.9	1024	39	0.94
	RRT	58	8	0.75	-	7.9	124	32	0.88
	RT	7414	11	0.90	+	430.5	3830	39	0.93
	TO	13840	11	0.96	-	37.6	15636	39	0.96
	UH	4540	11	0.83	+	2073.6	251	26	0.70
	VB0	313	10	0.73	+	69.6	67	23	0.78
	VBDR	3597	11	0.92	+	7.5	3216	39	0.88
	VBDZ	12397	11	0.91	+	534.8	7097	39	0.89
	VBG	764	10	0.79	-	2.0	862	39	0.94
	VBI	4505	11	0.88	-	290.3	7762	39	0.92
	VBM	2208	11	0.87	+	854.4	194	29	0.82
	VBN	2181	11	0.82	-	15.0	2641	39	0.93
	VBR	4893	11	0.87	-	13.4	5531	39	0.94
	VBZ	11239	11	0.89	+	0.4	11081	39	0.94
	VD0	3504	11	0.87	+	962.0	575	39	0.93
	VDD	2806	11	0.89	+	644.3	579	37	0.85
	VDG	358	9	0.79	+	60.1	100	30	0.86
	VDI	1095	11	0.87	+	166.0	335	38	0.88
	VDN	349	11	0.90	+	16.7	193	36	0.90
	VDZ	782	11	0.85	+	48.1	395	37	0.87
	VH0	3200	11	0.90	+	6.3	2870	39	0.92
	VHD	6480	11	0.81	+	603.7	2706	39	0.86
	VHG	447	11	0.80	+	9.9	304	39	0.90
	VHI	2069	11	0.93	+	16.7	1651	39	0.91
	VHN	264	11	0.80	+	2.9	202	37	0.86
	VHZ	1721	11	0.84	-	153.1	3225	39	0.92
	VM	16986	11	0.95	+	153.2	13373	39	0.93
	VMK	192	11	0.79	+	27.2	62	25	0.84
	VV0	16892	11	0.88	+	783.5	9448	39	0.89
	VVD	44514	11	0.93	+	5379.6	15970	39	0.90
	VVG	17406	11	0.91	+	297.8	12440	39	0.97
	VVGK	501	11	0.81	+	137.2	82	28	0.85
	VVI	32641	11	0.96	+	740.4	22075	39	0.96
	VVN	16253	11	0.88	-	939.8	27292	39	0.97
	VVNK	22	3	0.38	+	0.0	21	12	0.72
	VVZ	7820	11	0.72	+	3.9	7407	39	0.93
	XX	12160	11	0.93	+	1450.1	4400	39	0.95
	ZZ1	165	7	0.69	-	592.0	2128	36	0.67
	ZZ2	27	4	0.55	-	1.4	44	9	0.59
